Topic,ID,Start Time,File Size (MB),File Count,Total Views,Total Downloads,Last Accessed,Auto Delete Status,Auto Delete Date
Tuhfa Reading,893 556 039,"Jun 22, 2022 07:59:49 PM",178.2987,2,0,4,"Apr 9, 2023 11:05:32 AM",false,
Tuhfa Reading,893 556 039,"Jun 15, 2022 07:59:56 PM",190.6999,2,0,5,"Apr 9, 2023 11:05:33 AM",false,
Tuhfa Reading,893 556 039,"Jun 1, 2022 07:59:59 PM",210.8673,2,1,7,"Apr 9, 2023 11:05:34 AM",false,
Tuhfa Reading,893 556 039,"May 25, 2022 08:01:17 PM",148.2562,2,0,5,"Apr 9, 2023 11:05:36 AM",false,
Tuhfa Reading,893 556 039,"May 18, 2022 08:00:40 PM",216.4270,2,0,4,"Apr 9, 2023 11:05:38 AM",false,
Tuhfa Reading,893 556 039,"Apr 7, 2022 05:30:03 AM",130.1245,3,1,6,"Apr 9, 2023 11:05:41 AM",false,
Tuhfa Reading,893 556 039,"Mar 30, 2022 08:58:03 PM",169.9255,2,0,4,"Apr 9, 2023 11:05:43 AM",false,
Tuhfa Reading,893 556 039,"Mar 23, 2022 08:58:24 PM",154.5635,2,0,4,"Apr 9, 2023 11:05:45 AM",false,
Tuhfa Reading,893 556 039,"Mar 16, 2022 09:00:36 PM",190.8900,2,0,4,"Apr 9, 2023 11:05:47 AM",false,
Tuhfa Reading,893 556 039,"Mar 2, 2022 07:59:51 PM",155.4536,2,0,4,"Apr 9, 2023 11:05:49 AM",false,
Tuhfa Reading,893 556 039,"Feb 23, 2022 05:56:44 PM",206.4302,3,0,6,"Apr 9, 2023 11:05:51 AM",false,
Tuhfa Reading,893 556 039,"Feb 16, 2022 07:58:33 PM",170.5741,2,0,5,"Apr 9, 2023 11:05:56 AM",false,
Tuhfa Reading,893 556 039,"Feb 9, 2022 07:59:56 PM",63.3288,3,0,4,"Apr 9, 2023 11:05:58 AM",false,
Tuhfa Reading,893 556 039,"Feb 2, 2022 07:58:55 PM",177.8262,3,0,6,"Apr 9, 2023 11:02:09 AM",false,
Tuhfa Reading,893 556 039,"Jan 26, 2022 07:59:46 PM",172.3379,3,0,5,"Apr 9, 2023 11:02:10 AM",false,
Tuhfa Reading,893 556 039,"Jan 19, 2022 07:59:22 PM",165.8187,2,0,5,"Apr 9, 2023 11:02:11 AM",false,
Tuhfa Reading,893 556 039,"Jan 19, 2022 07:59:12 PM",0.1368,2,0,2,"Apr 9, 2023 11:02:12 AM",false,
Tuhfa Reading,893 556 039,"Jan 12, 2022 07:59:26 PM",145.7207,2,0,4,"Apr 9, 2023 11:02:14 AM",false,
Tuhfa Reading,893 556 039,"Jan 5, 2022 07:51:02 PM",173.7781,3,0,5,"Apr 9, 2023 11:02:15 AM",false,
Tuhfa Reading,893 556 039,"Dec 31, 2021 07:59:37 PM",0.2890,2,0,2,"Apr 9, 2023 11:02:16 AM",false,
Tuhfa Reading,893 556 039,"Dec 29, 2021 08:01:34 PM",227.6918,3,0,5,"Apr 9, 2023 11:02:18 AM",false,
